Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0
2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.75;1.0;1.0;0.0;0.0;0.0;0.0;0.0
2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.6666666666666666;0.0;1.0;0.75;1.0;1.0;0.0;1.0;0.0;0.0;0.0
2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.5714285714285714;0.8571428571428571;0.0;1.0;0.75;0.75;1.0;1.0;1.0;0.0;0.0;1.0
3.0;0.0;1.0;0.0;1.0;0.0;1.0;0.5555555555555556;1.0;0.0;1.0;0.8333333333333334;0.8333333333333334;0.0;0.0;0.8;0.2;0.0;0.0
1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.7692307692307693;0.6923076923076923;0.0;1.0;0.8571428571428571;0.8571428571428571;0.0;0.0;1.0;0.0;0.0;0.0
5.0;0.0;1.0;0.0;1.0;0.0;1.0;0.2857142857142857;1.0;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.8333333333333334;0.16666666666666666;0.0;0.0
5.0;0.0;0.0;0.0;1.0;0.0;1.0;0.25;1.0;0.0;1.0;0.5;1.0;1.0;0.0;1.0;0.0;0.0;0.0
1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.7;0.875;0.0;1.0;1.2;0.8;0.0;1.0;1.0;0.0;0.0;1.0
5.0;0.0;1.0;0.0;1.0;0.0;1.0;0.14285714285714285;1.0;0.0;1.0;0.5;1.0;1.0;0.0;0.8571428571428571;0.0;0.14285714285714285;0.0
5.0;0.0;1.0;0.0;1.0;0.0;1.0;0.16666666666666666;1.0;0.0;1.0;0.5;1.0;1.0;0.0;0.7142857142857143;0.0;0.2857142857142857;0.0
4.0;0.0;0.0;0.0;1.0;0.0;1.0;0.5;1.0;0.0;1.0;0.8;0.8;0.0;0.0;0.5714285714285714;0.0;0.42857142857142855;0.0
4.0;0.0;0.0;0.0;1.0;0.0;1.0;0.6666666666666666;0.75;0.0;1.0;0.6666666666666666;1.3333333333333333;1.0;0.0;0.5714285714285714;0.0;0.42857142857142855;0.0
4.0;1.0;0.0;0.0;1.0;0.0;1.0;0.8333333333333334;0.625;0.0;1.0;0.6666666666666666;1.3333333333333333;1.0;0.0;0.5714285714285714;0.0;0.42857142857142855;1.0
4.0;2.0;0.0;0.0;1.0;0.0;1.0;0.875;0.5;0.0;1.0;0.6666666666666666;1.3333333333333333;1.0;0.0;0.6666666666666666;0.0;0.3333333333333333;1.0
2.0;2.0;0.0;0.0;1.0;0.0;1.0;1.0;0.4;0.0;1.0;0.8;0.8;0.0;0.0;0.75;0.0;0.25;0.0
2.0;1.0;0.0;0.0;1.0;0.0;1.0;0.8;0.5555555555555556;0.0;1.0;1.0;0.75;0.0;1.0;0.75;0.0;0.25;0.0
4.0;1.0;1.0;0.0;1.0;0.0;1.0;0.5454545454545454;0.6923076923076923;0.0;1.0;0.6666666666666666;1.3333333333333333;1.0;0.0;0.8181818181818182;0.0;0.18181818181818182;0.0
4.0;0.0;0.0;0.0;1.0;0.0;1.0;0.8;0.7142857142857143;0.0;1.0;0.6666666666666666;1.3333333333333333;1.0;0.0;0.5;0.16666666666666666;0.3333333333333333;1.0
1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.9090909090909091;0.6363636363636364;0.0;1.0;0.8571428571428571;0.8571428571428571;0.0;0.0;0.625;0.125;0.25;0.0
1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.6428571428571429;0.75;0.0;1.0;1.2;0.8;0.0;1.0;0.7272727272727273;0.2727272727272727;0.0;1.0
3.0;0.0;1.0;0.0;1.0;0.0;1.0;0.45454545454545453;1.0;0.0;1.0;0.8333333333333334;0.8333333333333334;0.0;0.0;0.6;0.0;0.4;0.0
5.0;1.0;1.0;0.0;1.0;0.0;1.0;0.5;0.6666666666666666;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.7142857142857143;0.0;0.2857142857142857;1.0
3.0;1.0;2.0;0.0;1.0;0.0;1.0;0.4666666666666667;0.7647058823529411;0.0;1.0;0.75;1.25;1.0;0.0;0.75;0.0;0.25;0.0
5.0;1.0;1.0;0.0;1.0;0.0;1.0;0.5384615384615384;0.5833333333333334;0.0;1.0;1.0;0.5;0.0;1.0;0.9166666666666666;0.0;0.08333333333333333;1.0
1.0;1.0;2.0;0.0;1.0;0.0;1.0;0.6111111111111112;0.7222222222222222;0.0;1.0;0.8571428571428571;0.8571428571428571;0.0;0.0;0.9230769230769231;0.0;0.07692307692307693;0.0
4.0;1.0;1.0;0.0;1.0;0.0;1.0;0.8461538461538461;0.46153846153846156;0.0;1.0;0.8;0.8;0.0;0.0;0.8181818181818182;0.09090909090909091;0.09090909090909091;0.0
5.0;1.0;1.0;0.0;1.0;0.0;1.0;0.6666666666666666;0.5;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0
2.0;1.0;2.0;0.0;1.0;0.0;1.0;0.6;0.6666666666666666;0.0;1.0;0.8;0.8;0.0;0.0;0.8461538461538461;0.07692307692307693;0.07692307692307693;1.0
2.0;1.0;3.0;0.0;1.0;0.0;1.0;0.47368421052631576;0.7222222222222222;0.0;1.0;1.0;0.75;0.0;1.0;0.8823529411764706;0.058823529411764705;0.058823529411764705;1.0
1.0;0.0;3.0;0.0;1.0;0.0;1.0;0.3684210526315789;0.8571428571428571;0.0;1.0;0.8;1.2;1.0;0.0;0.8333333333333334;0.05555555555555555;0.1111111111111111;0.0
