# ('scenarios/K0/', 'solution/K0_best/', 's1.csv', 'Best_GA_Solution_Classic_1_fixed_100P5F_60T28U_1_s1.csv', {'id': 1, 'cells': [{'id': 1, 'resources': [{'id': 1, 'process_times': [10, 8, 12, 11, 9], 'setup_times': [2, 5, 12, 19, 8]}, {'id': 2, 'process_times': [12, 10, 14, 7, 16], 'setup_times': [4, 11, 28, 12, 20]}]}, {'id': 2, 'resources': [{'id': 1, 'process_times': [2, 4, 4, 2, 7], 'setup_times': [10, 18, 12, 22, 15]}, {'id': 2, 'process_times': [7, 6, 6, 6, 4], 'setup_times': [12, 14, 20, 17, 22]}, {'id': 3, 'process_times': [3, 2, 6, 6, 2], 'setup_times': [20, 18, 16, 16, 12]}]}, {'id': 3, 'resources': [{'id': 1, 'process_times': [10, 8, 12, 11, 9], 'setup_times': [19, 20, 24, 18, 15]}, {'id': 2, 'process_times': [8, 12, 10, 8, 14], 'setup_times': [15, 28, 24, 20, 19]}]}]}, 3, 150, 225, None)
iteration,meilleur_voisin_courant,meilleur_voisin_global
0,614.6176470588235,614.6176470588235
1,574.9215686274509,574.9215686274509
2,561.8823529411765,561.8823529411765
3,551.343137254902,551.343137254902
4,542.9607843137255,542.9607843137255
5,535.5784313725491,535.5784313725491
6,528.0294117647059,528.0294117647059
7,522.7156862745098,522.7156862745098
8,519.3137254901961,519.3137254901961
9,517.1274509803922,517.1274509803922
10,515.0098039215686,515.0098039215686
11,513.6372549019608,513.6372549019608
12,512.343137254902,512.343137254902
13,511.2647058823529,511.2647058823529
14,510.4313725490196,510.4313725490196
15,509.2156862745098,509.2156862745098
16,508.4019607843137,508.4019607843137
17,508.0882352941176,508.0882352941176
18,507.921568627451,507.921568627451
19,507.7156862745098,507.7156862745098
20,507.29411764705884,507.29411764705884
21,507.0,507.0
22,506.88235294117646,506.88235294117646
23,506.8235294117647,506.8235294117647
24,506.77450980392155,506.77450980392155
25,506.77450980392155,506.77450980392155
26,506.77450980392155,506.77450980392155
27,506.77450980392155,506.77450980392155
28,506.77450980392155,506.77450980392155
29,506.77450980392155,506.77450980392155
30,506.77450980392155,506.77450980392155
31,506.77450980392155,506.77450980392155
32,506.77450980392155,506.77450980392155
33,506.77450980392155,506.77450980392155
34,506.77450980392155,506.77450980392155
35,506.77450980392155,506.77450980392155
36,506.77450980392155,506.77450980392155
37,506.55882352941177,506.55882352941177
38,504.0686274509804,504.0686274509804
39,502.5098039215686,502.5098039215686
40,502.22549019607845,502.22549019607845
41,502.0686274509804,502.0686274509804
42,502.01960784313724,502.01960784313724
43,501.078431372549,501.078431372549
44,500.578431372549,500.578431372549
45,500.5686274509804,500.5686274509804
46,500.5686274509804,500.5686274509804
47,500.5686274509804,500.5686274509804
48,500.5686274509804,500.5686274509804
49,500.5686274509804,500.5686274509804
50,500.5686274509804,500.5686274509804
51,500.5686274509804,500.5686274509804
52,500.5686274509804,500.5686274509804
53,500.5686274509804,500.5686274509804
54,500.5686274509804,500.5686274509804
55,500.5686274509804,500.5686274509804
56,500.5686274509804,500.5686274509804
57,500.5686274509804,500.5686274509804
58,500.5686274509804,500.5686274509804
59,500.5686274509804,500.5686274509804
60,500.5686274509804,500.5686274509804
61,500.5686274509804,500.5686274509804
62,500.5686274509804,500.5686274509804
63,500.5686274509804,500.5686274509804
64,500.5686274509804,500.5686274509804
65,500.5686274509804,500.5686274509804
66,500.5686274509804,500.5686274509804
67,500.5686274509804,500.5686274509804
68,500.62745098039215,500.5686274509804
69,500.46078431372547,500.46078431372547
70,500.53921568627453,500.46078431372547
71,500.6372549019608,500.46078431372547
72,500.6372549019608,500.46078431372547
73,500.69607843137254,500.46078431372547
