P1;1;5;7;Unnamed: 4
P2;2;5;6;
P3;2;5;6;
P4;2;5;6;
P5;1;5;7;
P6;2;3;6;
P7;1;5;7;
P8;2;5;7;
P9;2;5;6;
P10;1;5;7;
P11;2;5;7;
P12;2;5;7;
P13;1;5;6;
P14;1;3;6;
P15;2;5;7;
P16;1;5;6;
P17;2;5;7;
P18;1;5;7;
P19;2;5;6;
P20;2;5;6;
P21;1;5;7;
P22;1;5;7;
P23;2;5;7;
P24;2;5;7;
P25;2;5;6;
P26;1;5;7;
P27;1;5;7;
P28;2;5;6;
P29;2;5;7;
P30;1;5;6;
P31;1;5;7;
P32;2;3;6;
P33;2;5;7;
P34;2;5;7;
P35;1;5;6;
P36;2;5;7;
P37;2;3;6;
P38;2;3;6;
P39;2;5;6;
P40;1;5;6;
P41;1;5;7;
P42;1;5;7;
P43;1;5;7;
P44;1;5;7;
P45;2;5;6;
P46;1;5;7;
