P1;1;3;6;10;14;
P2;2;4;7;11;13;
P3;1;5;9;10;14;
P4;1;3;6;12;14;
P5;1;3;8;10;13;
P6;2;4;7;11;13;
P7;1;3;7;10;13;
P8;2;4;7;10;13;
P9;1;3;8;11;13;
P10;1;3;7;11;13;
P11;2;5;6;12;14;
P12;2;5;6;12;14;
P13;2;4;6;11;14;
P14;2;5;6;11;14;
P15;1;3;9;12;13;
P16;1;4;7;11;13;
P17;2;5;6;10;14;
P18;1;3;8;12;14;
P19;1;4;9;12;14;
P20;2;5;6;12;14;
P21;1;4;9;10;13;
P22;1;5;8;12;14;
P23;2;5;6;12;14;
P24;2;4;6;10;14;
P25;1;3;7;11;14;
P26;2;4;6;10;14;
P27;1;4;6;11;14;
P28;1;5;9;12;13;
P29;2;4;9;12;14;
P30;1;4;8;12;14;
P31;2;4;7;11;13;
P32;2;5;9;10;13;
P33;2;3;8;10;14;
P34;1;3;6;11;14;
P35;2;3;7;10;14;
P36;1;5;6;12;14;
P37;2;5;7;11;13;
P38;1;4;6;11;14;
P39;1;4;8;10;13;
P40;2;3;8;12;14;
P41;1;5;9;12;14;
P42;2;3;7;10;14;
P43;1;3;6;10;14;
P44;1;4;7;11;13;
P45;1;5;8;12;14;
P46;2;3;7;12;14;
P47;1;4;7;12;14;
P48;1;3;6;12;14;
P49;2;5;7;11;14;
P50;2;3;6;12;14;
P51;1;3;6;11;14;
P52;2;4;6;11;14;
P53;1;3;7;10;14;
P54;1;4;6;11;14;
P55;2;3;9;10;13;
P56;2;3;9;10;13;
P57;2;5;7;12;13;
P58;1;4;6;12;14;
P59;2;3;6;10;14;
P60;2;5;8;12;14;
P61;2;4;6;12;14;
P62;2;3;6;11;14;
P63;2;4;6;11;14;
P64;2;3;6;11;13;
P65;1;3;6;11;14;
P66;2;3;7;11;13;
P67;1;4;7;11;13;
P68;1;3;6;10;14;
P69;2;4;7;10;14;
P70;1;4;7;12;13;
P71;1;5;6;12;14;
P72;1;3;9;11;14;
P73;1;4;8;12;14;
P74;2;3;7;11;13;
P75;2;4;7;12;14;
P76;2;5;8;11;13;
P77;1;4;8;12;14;
P78;2;5;7;12;13;
P79;1;5;6;10;14;
P80;2;5;9;12;13;
P81;2;3;6;12;14;
P82;2;4;6;11;14;
P83;1;3;7;12;14;
P84;2;3;6;10;14;
P85;2;5;9;10;14;
P86;2;5;6;11;14;
P87;2;3;8;11;14;
P88;2;4;8;12;13;
P89;1;3;6;12;14;
P90;1;4;7;10;14;
P91;1;3;6;12;13;
P92;2;3;9;11;14;
P93;2;4;8;11;14;
P94;2;5;6;10;13;
P95;2;3;7;10;13;
P96;2;3;6;12;14;
P97;1;3;7;11;14;
P98;2;4;8;12;13;
P99;2;5;7;10;14;
P100;2;4;6;10;13;
