Family;Qsize_R6;Qsize_R7;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Exp_Charge__R6;Exp_Charge__R7;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Eff_Gross_R6;Eff_Gross_R7;predFamilies_R6;predFamilies_R7;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0
5.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.75;0.75;0.0;0.0;1.0;0.0;0.0;0;1
5.0;0.0;0.0;0.0;1.0;0.0;1.0;0.75;1.0;0.0;1.0;1.0;0.6666666666666666;0.0;1.0;0.9230769230769231;0.0;0.07692307692307693;1;0
3.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.5;0.0;1.0;0.0;2.0;0.0;0.0;0.8333333333333334;0.0;0.16666666666666666;0;1
4.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.75;1.0;0.0;0.0;1.0;0.0;0.0;1;0
4.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.6666666666666666;0.0;1.0;0.6666666666666666;1.3333333333333333;1.0;0.0;0.6;0.0;0.4;0;1
4.0;0.0;0.0;0.0;1.0;0.0;1.0;0.5;0.8571428571428571;0.0;1.0;0.6666666666666666;1.0;1.0;1.0;0.3333333333333333;0.0;0.6666666666666666;1;0
1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0;1
5.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.75;0.75;0.0;0.0;0.0;0.0;0.0;1;0
1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.5;0.5;0.0;1.0;1.0;0.0;0.0;0;1
2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.5;1.5;0.0;0.0;1.0;0.0;0.0;1;0
1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.5;0.5;0.0;1.0;1.0;0.0;0.0;0;1
3.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.9285714285714286;0.07142857142857142;0.0;0;1
