P1;2;3;6;12;14;0
P2;1;5;7;10;14;0
P3;2;3;6;11;13;0
P4;2;4;6;12;13;0
P5;1;4;8;11;13;0
P6;1;4;7;11;14;0
P7;1;3;8;11;13;0
P8;1;5;8;12;14;0
P9;2;5;8;10;14;0
P10;2;5;8;11;14;0
P11;2;4;8;10;14;0
P12;1;3;7;10;14;0
P13;2;4;6;12;14;0
P14;2;5;7;12;14;0
P15;1;3;7;12;14;0
P16;1;3;7;11;13;0
P17;1;3;8;10;13;0
P18;2;5;7;12;14;0
P19;2;3;6;10;13;0
P20;1;3;9;11;13;0
P21;1;4;6;12;14;0
P22;2;3;8;10;13;0
P23;2;5;7;11;13;0
P24;2;4;9;11;14;0
P25;1;5;7;12;14;0
P26;2;4;6;11;14;0
P27;1;4;7;12;14;0
P28;1;3;6;10;13;0
P29;2;4;6;10;14;0
P30;2;3;6;12;14;0
P31;1;3;8;12;13;0
P32;1;5;9;12;13;0
P33;2;3;6;12;14;0
P34;2;4;6;10;14;0
P35;2;3;6;11;14;0
P36;1;4;6;11;13;0
P37;1;5;7;12;14;0
P38;2;3;6;10;14;0
P39;2;4;9;11;13;0
P40;2;4;9;12;14;0
P41;2;5;8;11;13;0
P42;1;5;7;12;14;0
P43;2;3;9;12;14;0
P44;2;4;9;11;14;0
P45;2;5;7;10;14;0
P46;1;3;7;12;14;0
P47;2;5;7;10;13;0
P48;2;4;8;10;13;0
P49;2;3;6;11;14;0
P50;1;3;7;10;14;0
P51;2;5;7;11;14;0
P52;2;5;8;12;14;0
P53;1;3;7;10;14;0
P54;1;5;6;11;13;0
P55;2;4;6;12;14;0
P56;1;5;6;10;13;0
P57;1;3;7;12;14;0
P58;2;5;7;11;14;0
P59;2;3;6;11;13;0
P60;1;4;7;12;14;0
P61;1;3;6;12;14;0
P62;1;3;6;11;14;0
P63;2;4;6;12;13;0
P64;2;4;6;11;13;0
P65;2;5;7;10;14;0
P66;2;3;9;12;13;0
P67;1;4;8;12;13;0
P68;2;5;7;10;13;0
P69;1;5;6;11;14;0
P70;2;3;9;11;13;0
P71;2;4;9;12;14;0
P72;1;4;7;10;14;0
P73;2;3;8;12;14;0
P74;1;3;7;10;13;0
P75;1;3;8;10;14;0
P76;2;3;9;12;14;0
P77;2;5;6;12;13;0
P78;1;3;8;12;14;0
P79;1;4;6;10;13;0
P80;2;3;9;11;14;0
P81;1;4;6;10;13;0
P82;2;5;6;11;14;0
P83;1;3;6;11;13;0
P84;2;3;6;12;14;0
P85;1;5;7;12;14;0
P86;1;3;7;10;14;0
P87;2;3;8;10;13;0
P88;1;4;7;10;14;0
P89;2;5;6;12;14;0
P90;1;3;8;10;14;0
P91;1;4;7;11;14;0
P92;1;5;6;10;13;0
P93;1;5;6;11;14;0
P94;1;4;8;12;13;0
P95;1;3;9;11;14;0
P96;1;3;6;11;14;0
P97;1;4;7;11;13;0
P98;1;4;7;11;13;0
P99;2;4;7;12;13;0
P100;1;3;9;10;14;0
