Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0;Selected Resource_3.0
2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.4;0.6;0.0;0.0;0.0;0;1;0;0
2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;10.0;16.0;17.0;0.7368421052631579;1.0;0.7619047619047619;0.7727272727272727;1.4;1.0;1.6;1.7;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.6071428571428571;0.3333333333333333;0.0595238095238095;0.0;0.0;0;1;0;0
3.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;22.0;16.0;17.0;0.6666666666666666;1.0;0.6956521739130435;0.7083333333333334;1.0;1.5714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.6741573033707865;0.247191011235955;0.0786516853932584;0.0;0.0;1;0;0;0
5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;16.0;15.0;16.0;17.0;1.0;0.8823529411764706;0.8888888888888888;0.8947368421052632;1.0666666666666669;1.0;1.0666666666666669;1.1333333333333333;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.7214285714285714;0.1714285714285714;0.0142857142857142;0.0;0.0928571428571428;0;0;1;0
3.0;0.0;0.0;1.0;0.0;0.125;0.0;1.0;0.0;6.0;15.0;32.0;17.0;0.2727272727272727;0.4545454545454545;0.9411764705882352;0.4857142857142857;1.0;2.5;5.333333333333333;2.833333333333333;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.6474358974358975;0.1538461538461538;0.1153846153846153;0.0;0.0833333333333333;1;0;0;0
5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;11.0;17.0;0.7368421052631579;0.75;1.0;0.7727272727272727;1.2727272727272727;1.3636363636363635;1.0;1.5454545454545454;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.7171052631578947;0.1907894736842105;0.0328947368421052;0.0;0.0592105263157894;0;0;1;0
2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;14.0;5.0;23.0;17.0;0.6666666666666666;0.4166666666666667;1.0;0.7083333333333334;2.8;1.0;4.6;3.4;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.6836158192090396;0.2485875706214689;0.03954802259887;0.0;0.0282485875706214;0;1;0;0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.7772020725388601;0.1658031088082901;0.0;0.0207253886010362;0.0362694300518134;0;1;0;0
5.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;26.0;6.0;17.0;0.56;1.0;0.3529411764705882;0.6071428571428571;2.333333333333333;4.333333333333333;1.0;2.833333333333333;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.7835051546391752;0.1082474226804123;0.056701030927835;0.0;0.0515463917525773;0;0;1;0
1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.375;0.0;14.0;13.0;19.0;17.0;0.56;0.8125;0.7037037037037037;0.6071428571428571;1.0769230769230769;1.0;1.4615384615384617;1.3076923076923077;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.7487179487179487;0.1743589743589743;0.0564102564102564;0.0;0.0205128205128205;0;0;0;1
