Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0;Selected Resource_3.0
3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.6842105263157895;0.3157894736842105;0.0;0.0;0.0;0;1;0;0
4.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;24.0;16.0;17.0;0.6086956521739131;1.0;0.64;0.6538461538461539;1.0;1.7142857142857142;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.6538461538461539;0.2967032967032967;0.0494505494505494;0.0;0.0;1;0;0;0
3.0;1.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;24.0;10.0;16.0;17.0;0.8275862068965517;0.5;0.5161290322580645;0.53125;2.4;1.0;1.6;1.7;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.6121495327102804;0.3177570093457944;0.0700934579439252;0.0;0.0;0;0;1;0
4.0;1.0;0.0;1.0;0.0;0.5;0.0833333333333333;1.0;0.0;10.0;16.0;28.0;17.0;0.4347826086956521;0.4705882352941176;0.8;0.4722222222222222;1.0;1.6;2.8;1.7;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.6636771300448431;0.2511210762331838;0.085201793721973;0.0;0.0;0;1;0;0
4.0;0.0;1.0;1.0;0.0;0.1666666666666666;1.0;0.6666666666666666;0.0;6.0;17.0;24.0;17.0;0.2307692307692307;0.6296296296296297;0.631578947368421;0.4358974358974359;1.0;2.833333333333333;4.0;2.833333333333333;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.7112068965517241;0.1896551724137931;0.0948275862068965;0.0043103448275862;0.0;1;0;0;0
4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.2;0.0;4.0;10.0;17.0;17.0;0.4;0.9090909090909092;0.7727272727272727;0.7391304347826086;1.0;2.5;4.25;4.25;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.6848249027237354;0.2295719844357976;0.0233463035019455;0.0116731517509727;0.0505836575875486;0;1;0;0
4.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;12.0;16.0;17.0;0.3636363636363636;1.0;0.6956521739130435;0.7083333333333334;1.0;3.0;4.0;4.25;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.6981132075471698;0.2415094339622641;0.0264150943396226;0.0075471698113207;0.0264150943396226;1;0;0;0
2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.7802690582959642;0.179372197309417;0.0;0.0134529147982062;0.0269058295964125;0;1;0;0
5.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;26.0;16.0;17.0;0.56;1.0;0.5925925925925926;0.6071428571428571;1.0;1.8571428571428568;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.7215189873417721;0.1814345991561181;0.0464135021097046;0.0;0.050632911392405;1;0;0;0
2.0;1.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;20.0;8.0;16.0;17.0;0.8695652173913043;0.5714285714285714;0.64;0.6538461538461539;2.5;1.0;2.0;2.125;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.8143939393939394;0.1515151515151515;0.034090909090909;0.0;0.0;0;1;1;0
