Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
5.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;14.0;1.0;1.0;1.0;1.5714285714285714;1.8571428571428568;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333332;0.0;0.0;0.0;1.0;0.0;0.0;0;0;1
2.0;0.0;0.0;1.0;0.0;0.0;1.0;22.0;20.0;30.0;0.6875;0.6666666666666666;1.0;1.1;1.0;1.5;1.0476190476190477;0.9523809523809524;0.9523809523809524;0.0;0.0;0.0;0.9813432835820896;0.0186567164179104;0.0;0;1;0
5.0;0.0;1.0;1.0;0.0;1.0;0.3333333333333333;22.0;41.0;7.0;0.5238095238095238;0.8913043478260869;0.3181818181818182;3.142857142857143;5.857142857142857;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.964221824686941;0.035778175313059;0.0;1;0;1
2.0;0.0;1.0;0.0;0.0;1.0;0.2;22.0;16.0;22.0;0.6470588235294118;0.8888888888888888;0.6875;1.375;1.0;1.375;3.142857142857143;0.8571428571428571;2.857142857142857;0.0;1.0;0.0;0.9857142857142858;0.0142857142857142;0.0;0;1;0
5.0;0.0;1.0;0.0;0.0;1.0;0.0;22.0;38.0;2.0;0.6470588235294118;1.0;0.1428571428571428;11.0;19.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.945;0.012;0.043;1;1;0
5.0;1.0;0.0;0.0;1.0;0.2307692307692307;0.0;20.0;29.0;2.0;0.8695652173913043;0.6904761904761905;0.1111111111111111;10.0;14.5;1.0;2.333333333333333;8.666666666666666;0.6666666666666666;1.0;0.0;1.0;0.9385749385749386;0.0131040131040131;0.0483210483210483;0;0;1
5.0;0.0;0.0;0.0;1.0;0.0;0.0;11.0;26.0;2.0;1.0;0.8666666666666667;0.3333333333333333;5.5;13.0;1.0;2.333333333333333;8.666666666666666;0.6666666666666666;1.0;0.0;1.0;0.9513435003631082;0.0029048656499636;0.0457516339869281;1;1;1
5.0;0.0;1.0;0.0;0.0;1.0;0.0;7.0;21.0;2.0;0.2916666666666667;1.0;0.1052631578947368;3.5;10.5;1.0;2.333333333333333;1.3333333333333333;0.6666666666666666;1.0;1.0;1.0;0.9430538172715894;0.0106382978723404;0.04630788485607;0;0;1
5.0;0.0;1.0;0.0;0.0;1.0;0.0;7.0;12.0;2.0;0.4666666666666667;1.0;0.2;3.5;6.0;1.0;2.333333333333333;1.3333333333333333;0.6666666666666666;1.0;1.0;1.0;0.9533844189016604;0.0051085568326947;0.0415070242656449;0;0;1
3.0;0.0;1.0;0.0;0.0;1.0;0.0;16.0;32.0;22.0;0.7272727272727273;1.0;0.7857142857142857;1.0;2.0;1.375;0.9411764705882352;1.5294117647058822;1.2941176470588236;0.0;0.0;0.0;0.9564652371669916;0.0038986354775828;0.0396361273554256;1;0;0
2.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;20.0;20.0;1.0;1.0;1.0;1.1;1.0;1.0;1.0476190476190477;0.9523809523809524;0.9523809523809524;0.0;0.0;0.0;0.9559118236472944;0.0;0.0440881763527054;1;1;0
3.0;1.0;0.0;0.0;1.0;0.0;0.0;37.0;26.0;22.0;1.0;0.5531914893617021;0.5116279069767442;1.681818181818182;1.181818181818182;1.0;0.9411764705882352;1.5294117647058822;1.2941176470588236;0.0;0.0;0.0;0.9438573315719948;0.0138705416116248;0.0422721268163804;0;0;1
